id,item
0,TCM Syndrome Type
1,Dry Eyes
2,Acupuncture points
3,Non-Sjögren's syndrome
4,Management methods
5,Prevention strategies
6,The scope of "white astringency syndrome" in traditional Chinese medicine
7,NLRP3 complex
8,MUC1
9,High levels of ICAM-1
10,Higher levels of IL-8
11,Higher levels of IL-6
12,High IFN-γ content
13,High levels of TNF-α
14,LFA-1 interaction
15,IL-8
16,NOD-like receptor protein 3 (NLRP3) activation
17,Sphingomyelin
18,Matrix metalloproteinases (MMP-9)
19,Langerhans cells (LC)
20,IL-17 increases
21,MMP-9 increases
22,Increased oxidative stress
23,Increased interleukin and tumor necrosis factor
24,IFN-γ increases
25,IL-1 increases
26,TNF-α increases
27,IL-6 increased
28,IL-1β increases
29,IL-8 increased
30,IL-10 increased
31,Increased matrix metalloproteinase-9 (MMP-9)
32,Increased tear dissolving factors
33,Increased tear osmolarity
34,Human leukocyte antigen DR increased
35,Veillonella
36,Increased inflammation-related molecules
37,Elevated tumor necrosis factor-α (TNF-α)
38,Elevated matrix metalloproteinase-9 (MMP-9)
39,Mucin production and goblet cell function perpetuate the vicious cycle of DED
40,TFOS DEWS II
41,Water-deficient and evaporative DED
42,Gastrointestinal disorders
43,Bacillus
44,Oxidative stress
45,Tear cytokine levels in DED patients
46,Tear cytokines
47,In vivo biocompatibility
48,Gold Nanorods (GNR) Palladium (Pd)
49,MGD severity levels
50,Visible light
51,Air pollution (nitrogen dioxide)
52,Fluorescein tear break-up time (FBUT)
53,Lacrimal gland ultrasound
54,Adaptive immune response
55,Support Vector Machine (SVM)
56,Schirmer Rating
57,Artificial intelligence-based diagnostic methods
58,Th-17 cells and IL-17 secretion
59,Th-17 cells and IL-22 secretion
60,Th-17 cells and their secreted IL-6
61,"Cells (Th1, Th17)"
62,Tear film breakup morphology
63,"Elderly people, postmenopausal women, contact lens wearers"
64,Advanced age
65,female
66,Age ≥ 60 years
67,Sjögren's syndrome
68,Use of medications 3 months before surgery
69,"Particulate matter (PM2.5, PM10)"
70,CCL1、miR-21-5p
71,"Corneal staining score, conjunctival staining score"
72,IL-20 levels
73,Meibomian gland expression (MGE)
74,age
75,Goblet cells (GC)
76,Anti-glaucoma surgery
77,YOLOv8
78,Type 1 diabetes
79,Meibomian Gland Dysfunction (MGD)
80,Sleep disorders
81,Adjusted hazard ratio (aHR)
82,Cumulative probability
83,Orbital lymphoma
84,"Adverse events (eg, burning, stinging)"
85,Retail Worker
86,Subjective sleep quality
87,Sleep latency
88,Qi Ju Di Huang Tang
89,"Women, topical medications"
90,Sarcoidosis
91,Systemic lupus erythematosus
92,Rheumatoid arthritis
93,Public awareness
94,Fovea Diagnosis
95,Rosmarinic acid
96,Ligusticum glabra
97,Chlorogenic acid
98,Tear meniscus height (TMH)
99,Substance P (SP)
100,Flaky rupture
101,Point rupture
102,Linear rupture
103,Irregular rupture
104,Bad eating habits
105,Hook effect
106,"Lubricating eye drops, preservative-free eye drops"
107,Meibomian gland dysfunction type dry eye Chinese medicine
108,"Tear film antioxidants (such as lactoferrin, SOD)"
109,Multiple sources of evidence
110,Intercellular adhesion molecule 1 (ICAM-1)
111,City dwellers
112,Artificial tear replacement therapy
113,Mindfulness training
114,Artificial tears
115,Corticosteroids
116,Chinese medicine eye drops
117,"Subjective symptoms (eg, dryness, fatigue)"
118,Lack of sleep
119,Sleeping too much
120,Comparison of gout patients with non-gout patients
121,Regular VDT users
122,First visit for dry eye costs more than follow-up visits
123,Hybrid DED costs more than evaporative or water-deficient DED
124,Non-drug treatment
125,Dry Eye Management
126,Lutein/Zeaxanthin
127,Curcumin
128,Vitamin D3 (LCD)
129,Impression cytology
130,IFN-γ
131,Mitogen-activated protein kinase (MAPK) and nuclear factor-kB (NF-κB)
132,Nicotinic acetylcholine receptor (nAChR)
133,Explainable Artificial Intelligence (XAI) Tools
134,Gene chip technology
135,Meta-techniques applied to
136,Randomized controlled trials (RCTs)
137,Logistic regression techniques are used to
138,Chinese Medicine Acupuncture
139,Rasch technique is used in
140,YOLOv8 Deep Learning Model
141,Deep Learning (DL) Methods
142,Flashing dynamic
143,Contact lenses
144,"Machine learning models (e.g. SVM, VGG16, ResNet)"
145,Nanomedicine
146,YOLOv8 target diagnosis model
147,"Diquafosol, indicating a more stable tear film with a thicker lipid layer"
148,"XAI through feature normalization, image registration, and bias removal"
149,ML models enhanced with XAI improve feature selection and reduce bias
150,Miracle Inquiry
