START_ID,END_ID,relation
0,1005,Include
0,1006,Include
0,1007,Include
1,506,Include
2,1008,Include
2,1009,Include
2,1010,Include
2,1011,Include
3,1012,Include
3,1013,Include
3,1014,Include
4,1015,Include
5,1016,Include
5,1017,Include
5,1018,Include
1,114,Include
1,1019,Include
1,1020,Include
6,1021,Include
7,1022,Markers
8,1023,Markers
1,1024,Markers
9,1025,Markers
10,1025,Markers
11,1025,Markers
12,1025,Markers
13,1025,Markers
14,1026,Markers
15,1027,Markers
16,346,Markers
17,1028,Markers
18,1029,Markers
19,1030,Markers
20,1,Markers
21,1,Markers
22,1031,Markers
23,1,Markers
24,1,Markers
24,1032,Markers
25,1,Markers
25,1032,Markers
26,1032,Markers
26,1,Markers
27,1033,Markers
28,1033,Markers
29,1033,Markers
26,1033,Markers
24,1033,Markers
27,1034,Markers
29,1035,Markers
27,1035,Markers
28,1035,Markers
30,1036,Markers
24,1037,Markers
31,1038,Markers
32,1039,Markers
33,1,Markers
33,1,Markers
34,1,Markers
35,1040,Markers
27,1041,Markers
28,1041,Markers
28,1042,Markers
27,1042,Markers
28,1043,Markers
27,1043,Markers
26,1043,Markers
36,1044,Markers
37,1037,Markers
26,1045,Markers
28,1045,Markers
27,1045,Markers
38,1046,Markers
39,1047,disease
40,1,definition
1,1048,definition
1,1049,definition
41,1050,definition
42,1051,definition
43,1052,definition
44,1053,definition
45,1054,definition
46,1055,definition
47,1056,definition
1,1057,definition
1,421,definition
48,1058,definition
49,1059,definition
50,1060,definition
51,1061,Related
52,1062,diagnosis
53,1063,diagnosis
54,1064,Related
55,1065,Technology applied to
56,1,diagnosis
57,1,Technology applied to
58,1,Markers
59,1,Markers
60,1,Markers
61,1066,Markers
62,1067,Features
63,1,Risk factors
64,1,Risk factors
65,1,Risk factors
66,1,Risk factors
67,1,Risk factors
68,1,Risk factors
1,1068,Increased risk
1,1069,Negative Impact
69,1070,Negative Impact
70,1071,Negative correlation
71,728,Negative correlation
72,254,Negative correlation
73,1072,Negative correlation
74,1073,Negative correlation
75,1074,Markers
76,1075,cause
77,1076,Technology applied to
78,1077,Research Hotspots
79,1078,Research Hotspots
80,1,Research Hotspots
81,1079,Research Hotspots
82,1080,Research Hotspots
83,1,cause
84,1081,disease
85,1,Risk factors
77,1082,Technology applied to
86,1083,cause
87,1,cause
88,1084,Treatment/Intervention
89,1085,Risk factors
90,508,cause
90,1,cause
91,508,cause
91,1,cause
67,508,cause
67,1,cause
92,508,cause
92,1,cause
93,1086,Treatment/Intervention
93,1086,Treatment/Intervention
94,1087,Technology applied to
95,1088,Treatment/Intervention
96,1088,Treatment/Intervention
97,1088,Treatment/Intervention
98,1,diagnosis
99,1089,Treatment/Intervention
100,1090,Related
101,1091,Related
102,1092,Related
103,1093,Related
104,1094,Related
104,1095,Related
105,1096,Technology applied to
106,1,Treatment/Intervention
107,1097,definition
108,1098,cause
109,1099,Technology applied to
110,1100,interactive
111,1101,Spend more money
112,1102,Treatment/Intervention
113,1103,Treatment/Intervention
114,1,Treatment/Intervention
114,1,Treatment/Intervention
115,587,Treatment/Intervention
116,1104,Treatment/Intervention
117,944,Treatment/Intervention
118,1,cause
119,1,cause
120,1,Risk factors
121,79,Risk factors
122,1,Patients' feelings
123,1105,Patients' feelings
124,1106,Patients' feelings
125,1107,Effect
125,1108,Effect
126,1109,Treatment/Intervention
126,1110,Treatment/Intervention
126,1111,Treatment/Intervention
127,1109,Treatment/Intervention
127,1110,Treatment/Intervention
127,1111,Treatment/Intervention
128,1109,Treatment/Intervention
128,1110,Treatment/Intervention
128,1111,Treatment/Intervention
129,1112,Technology applied to
130,1113,Markers
131,1,Markers
132,1114,Markers
133,1115,Technology applied to
134,1116,Technology applied to
135,1117,Technology applied to
136,135,Technology applied to
136,1118,Technology applied to
137,1119,Technology applied to
138,1120,Technology applied to
139,1121,Technology applied to
140,1122,Technology applied to
141,1123,Technology applied to
142,1124,Technology applied to
143,1125,Technology applied to
